year,first_place,first_id,first_country,first_team,second_place,second_id,second_country,second_team,third_place,third_id,third_country,third_team,stages,distance,average_speed
1903,Maurice Garin,1,France,(none),Lucien Pothier,1,France,(none),Fernand Augereau,1,France,(none),6,2428,25.679
1904,Henri Cornet,1,France,Geboren Jardy,Jean-Baptiste Dortignacq,1,France,(none),Alois Catteau,1,France,(none),6,2428,25.265
1905,Louis Trousselier,1,France,(none),Hyppolite Aucouturier,1,France,(none),Jean-Baptiste Dortignacq,1,France,(none),11,2994,27.107
1906,Rene Pottier,1,France,(none),Georges Passerieu,1,France,(none),Louis Trousselier,1,France,(none),13,4545,24.463
1907,Lucien Mazan dit Petit-Breton,1,France,(none),Gustave Garrigou,1,France,(none),Emile Georget,1,France,(none),14,4488,28.47
1908,Lucien Mazan dit Petit-Breton,1,France,(none),Francois Faber,2,Luxembourg,(none),Georges Passerieu,1,France,(none),14,4488,28.74
1909,Francois Faber,2,Luxembourg,Alcyon,Gustave Garrigou,1,France,Alcyon,Jean Alavoine,1,France,Alcyon,14,4497,28.658
1910,Octave Lapize,1,France,Alcyon,Francois Faber,2,Luxembourg,Alcyon,Gustave Garrigou,1,France,Alcyon,15,4734,29.099
1911,Gustave Garrigou,1,France,Alcyon,Paul Duboc,1,France,La Francaise,Emile Georget,1,France,La Francaise,15,5343,27.322
1912,Odile Defraye,3,Belgium,Alcyon,Eugene Christophe,1,France,Armor,Gustave Garrigou,1,France,Alcyon,15,5289,27.763
1913,Philippe Thys,3,Belgium,Peugeot,Gustave Garrigou,1,France,Peugeot,Marcel Guysse,3,Belgium,Peugeot,15,5287,26.715
1914,Philippe Thys,3,Belgium,Peugeot-Wolber,Henri Pelissier,1,France,Peugeot-Wolber,Jean Alavoine,1,France,Peugeot-Wolber,15,5380,26.835
1915,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1916,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1917,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1918,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1919,Firmin Lambot,3,Belgium,(none),Jean Alavoine,1,France,(none),Eugene Christophe,1,France,(none),15,5560,24.056
1920,Philippe Thys,3,Belgium,(none),Hector Heusghem,3,Belgium,(none),Firmin Lambot,3,Belgium,(none),15,5503,24.072
1921,Leon Scieur,3,Belgium,(none),Hector Heusghem,3,Belgium,(none),Honore Barthelemy,1,France,(none),15,5485,24.724
1922,Firmin Lambot,3,Belgium,(none),Jean Alavoine,1,France,(none),Felix Sellier,3,Belgium,(none),15,5375,24.196
1923,Henri Pelissier,1,France,(none),Ottavio Bottecchia,4,Italy,(none),Romain Bellenger,1,France,(none),15,5386,24.233
